"DU","Year","Var","pchange","probdecl","slope","intercept"
"Hirundinidae1_BC",2019,"MLE",-14.89194,NA,-0.00733,0.81273
"Hirundinidae1_BC",2019,"Jags_p2.5",-18.3633167342617,NA,-0.00922,0.78711
"Hirundinidae1_BC",2019,"Jags_p25",-15.9876978075379,NA,-0.00792,0.80423
"Hirundinidae1_BC",2019,"Jags_Med",-14.8422261393912,0.03333,-0.0073,0.8125
"Hirundinidae1_BC",2019,"Jags_p75",-13.6312938411814,NA,-0.00666,0.82007
"Hirundinidae1_BC",2019,"Jags_p97.5",-11.0843309849348,NA,-0.00534,0.8372
"Hirundinidae1_BC",2019,"Jags_Rhat",NA,NA,1.07898,1.08718
"Hirundinidae1_BC",2019,"RStanArm_p2.5",-12.0216245491623,NA,-0.00557,0.75576
"Hirundinidae1_BC",2019,"RStanArm_p25",-9.93317302073998,NA,-0.00455,0.76968
"Hirundinidae1_BC",2019,"RStanArm_Med",-9.01002126763391,0,-0.00411,0.77735
"Hirundinidae1_BC",2019,"RStanArm_p75",-8.17406328094695,NA,-0.00371,0.78512
"Hirundinidae1_BC",2019,"RStanArm_p97.5",-6.36617922465947,NA,-0.00286,0.80108
"Hirundinidae1_BC",2019,"RStanArm_Rhat",NA,NA,0.99989,1.00012
"Hirundinidae1_CA-BC-10",2019,"MLE",-28.04991,NA,-0.01496,0.46034
"Hirundinidae1_CA-BC-10",2019,"Jags_p2.5",-36.0116316557682,NA,-0.02029,0.38305
"Hirundinidae1_CA-BC-10",2019,"Jags_p25",-30.3617562613388,NA,-0.01645,0.43339
"Hirundinidae1_CA-BC-10",2019,"Jags_Med",-27.4949864433805,72.4,-0.01461,0.4569
"Hirundinidae1_CA-BC-10",2019,"Jags_p75",-24.6471739980373,NA,-0.01286,0.47974
"Hirundinidae1_CA-BC-10",2019,"Jags_p97.5",-18.3640671256022,NA,-0.00922,0.52829
"Hirundinidae1_CA-BC-10",2019,"Jags_Rhat",NA,NA,1.00099,1.00357
"Hirundinidae1_CA-BC-10",2019,"RStanArm_p2.5",-25.7795162248587,NA,-0.01296,0.34524
"Hirundinidae1_CA-BC-10",2019,"RStanArm_p25",-21.6419085543967,NA,-0.0106,0.38147
"Hirundinidae1_CA-BC-10",2019,"RStanArm_Med",-19.7349087675909,4.3,-0.00956,0.39958
"Hirundinidae1_CA-BC-10",2019,"RStanArm_p75",-17.6683609529943,NA,-0.00845,0.41873
"Hirundinidae1_CA-BC-10",2019,"RStanArm_p97.5",-12.6937112839592,NA,-0.0059,0.45948
"Hirundinidae1_CA-BC-10",2019,"RStanArm_Rhat",NA,NA,1.0001,1.00087
"Hirundinidae1_CA-BC-5",2019,"MLE",-6.03424,NA,-0.00283,1.48601
"Hirundinidae1_CA-BC-5",2019,"Jags_p2.5",-9.55145648655976,NA,-0.00456,1.46296
"Hirundinidae1_CA-BC-5",2019,"Jags_p25",-7.18560877789233,NA,-0.00339,1.47827
"Hirundinidae1_CA-BC-5",2019,"Jags_Med",-6.06178020189314,0.06667,-0.00284,1.48618
"Hirundinidae1_CA-BC-5",2019,"Jags_p75",-4.79457852035485,NA,-0.00223,1.49318
"Hirundinidae1_CA-BC-5",2019,"Jags_p97.5",-2.31921135522017,NA,-0.00107,1.50924
"Hirundinidae1_CA-BC-5",2019,"Jags_Rhat",NA,NA,1.0939,1.0345
"Hirundinidae1_CA-BC-5",2019,"RStanArm_p2.5",-7.32646874015117,NA,-0.00331,1.46211
"Hirundinidae1_CA-BC-5",2019,"RStanArm_p25",-5.89420434012491,NA,-0.00264,1.47398
"Hirundinidae1_CA-BC-5",2019,"RStanArm_Med",-5.14180816715202,0,-0.0023,1.47961
"Hirundinidae1_CA-BC-5",2019,"RStanArm_p75",-4.32319801565733,NA,-0.00192,1.48517
"Hirundinidae1_CA-BC-5",2019,"RStanArm_p97.5",-2.25162222499758,NA,-0.00099,1.49749
"Hirundinidae1_CA-BC-5",2019,"RStanArm_Rhat",NA,NA,1.00097,1.0016
"Hirundinidae1_CA-BC-6",2019,"MLE",8.78081,NA,0.00383,-0.22352
"Hirundinidae1_CA-BC-6",2019,"Jags_p2.5",130.809518370028,NA,0.00245,-0.23918
"Hirundinidae1_CA-BC-6",2019,"Jags_p25",132.610368402177,NA,0.00334,-0.22865
"Hirundinidae1_CA-BC-6",2019,"Jags_Med",133.632121295908,0,0.00378,-0.22282
"Hirundinidae1_CA-BC-6",2019,"Jags_p75",134.628221326173,NA,0.00422,-0.21707
"Hirundinidae1_CA-BC-6",2019,"Jags_p97.5",136.63977384574,NA,0.00506,-0.20606
"Hirundinidae1_CA-BC-6",2019,"Jags_Rhat",NA,NA,1.00124,1.00452
"Hirundinidae1_CA-BC-6",2019,"RStanArm_p2.5",131.265991514782,NA,0.00242,-0.23828
"Hirundinidae1_CA-BC-6",2019,"RStanArm_p25",133.050837454965,NA,0.00323,-0.22772
"Hirundinidae1_CA-BC-6",2019,"RStanArm_Med",133.955649042316,0,0.00368,-0.22209
"Hirundinidae1_CA-BC-6",2019,"RStanArm_p75",134.925253900945,NA,0.00414,-0.21627
"Hirundinidae1_CA-BC-6",2019,"RStanArm_p97.5",136.926399750877,NA,0.00496,-0.20541
"Hirundinidae1_CA-BC-6",2019,"RStanArm_Rhat",NA,NA,1.00191,1.00204
"Hirundinidae1_CA-BC-9",2019,"MLE",-40.02406,NA,-0.02324,0.56798
"Hirundinidae1_CA-BC-9",2019,"Jags_p2.5",-43.3945834577536,NA,-0.02587,0.53493
"Hirundinidae1_CA-BC-9",2019,"Jags_p25",-41.071342261075,NA,-0.02404,0.55633
"Hirundinidae1_CA-BC-9",2019,"Jags_Med",-39.9447501128021,99.96667,-0.02318,0.56721
"Hirundinidae1_CA-BC-9",2019,"Jags_p75",-38.7651012146531,NA,-0.02229,0.57792
"Hirundinidae1_CA-BC-9",2019,"Jags_p97.5",-36.3514072865349,NA,-0.02054,0.6008
"Hirundinidae1_CA-BC-9",2019,"Jags_Rhat",NA,NA,1.0006,1.11695
"Hirundinidae1_CA-BC-9",2019,"RStanArm_p2.5",-29.3035661818037,NA,-0.01508,0.38382
"Hirundinidae1_CA-BC-9",2019,"RStanArm_p25",-25.17927761066,NA,-0.01261,0.41921
"Hirundinidae1_CA-BC-9",2019,"RStanArm_Med",-23.2893396429164,26.9,-0.01153,0.43854
"Hirundinidae1_CA-BC-9",2019,"RStanArm_p75",-21.4634606485259,NA,-0.0105,0.4588
"Hirundinidae1_CA-BC-9",2019,"RStanArm_p97.5",-17.9097476475245,NA,-0.00858,0.50374
"Hirundinidae1_CA-BC-9",2019,"RStanArm_Rhat",NA,NA,0.99936,1.00062
"Hirundinidae1_Continental",2019,"MLE",-16.83666,NA,-0.00838,2.21414
"Hirundinidae1_Continental",2019,"Jags_p2.5",-18.6874177805326,NA,-0.0094,2.20011
"Hirundinidae1_Continental",2019,"Jags_p25",-17.4532704245019,NA,-0.00872,2.20988
"Hirundinidae1_Continental",2019,"Jags_Med",-16.8610179689974,0.06667,-0.00839,2.21441
"Hirundinidae1_Continental",2019,"Jags_p75",-16.2322548931551,NA,-0.00805,2.21865
"Hirundinidae1_Continental",2019,"Jags_p97.5",-14.9281989042395,NA,-0.00735,2.2271
"Hirundinidae1_Continental",2019,"Jags_Rhat",NA,NA,1.01457,1.04301
"Hirundinidae1_Continental",2019,"RStanArm_p2.5",-11.9524301946703,NA,-0.00553,2.14741
"Hirundinidae1_Continental",2019,"RStanArm_p25",-9.97491514466088,NA,-0.00457,2.16059
"Hirundinidae1_Continental",2019,"RStanArm_Med",-9.13227880886451,0,-0.00416,2.16756
"Hirundinidae1_Continental",2019,"RStanArm_p75",-8.38303977195264,NA,-0.00381,2.17553
"Hirundinidae1_Continental",2019,"RStanArm_p97.5",-6.93641244302743,NA,-0.00313,2.19251
"Hirundinidae1_Continental",2019,"RStanArm_Rhat",NA,NA,1.0002,1.00033
"Hirundinidae2_BC",2019,"MLE",-42.70191,NA,-0.02531,0.61745
"Hirundinidae2_BC",2019,"Jags_p2.5",-47.9610332421842,NA,-0.02969,0.55883
"Hirundinidae2_BC",2019,"Jags_p25",-44.3838020811042,NA,-0.02667,0.59834
"Hirundinidae2_BC",2019,"Jags_Med",-42.594956245351,99.96667,-0.02523,0.61633
"Hirundinidae2_BC",2019,"Jags_p75",-40.6679489343909,NA,-0.02373,0.63527
"Hirundinidae2_BC",2019,"Jags_p97.5",-36.6278926366044,NA,-0.02073,0.6744
"Hirundinidae2_BC",2019,"Jags_Rhat",NA,NA,1.00076,1.10115
"Hirundinidae2_BC",2019,"RStanArm_p2.5",-33.1232264623087,NA,-0.01749,0.41409
"Hirundinidae2_BC",2019,"RStanArm_p25",-28.3304686540583,NA,-0.01448,0.45897
"Hirundinidae2_BC",2019,"RStanArm_Med",-26.0362388518021,61.9,-0.01311,0.48386
"Hirundinidae2_BC",2019,"RStanArm_p75",-23.8930078083828,NA,-0.01187,0.50683
"Hirundinidae2_BC",2019,"RStanArm_p97.5",-19.4376801192104,NA,-0.0094,0.55924
"Hirundinidae2_BC",2019,"RStanArm_Rhat",NA,NA,1.00088,1.00193
"Hirundinidae2_CA-BC-10",2019,"MLE",-26.09966,NA,-0.01375,0.91405
"Hirundinidae2_CA-BC-10",2019,"Jags_p2.5",-32.0181874355221,NA,-0.01754,0.86701
"Hirundinidae2_CA-BC-10",2019,"Jags_p25",-28.0247672932866,NA,-0.01495,0.89802
"Hirundinidae2_CA-BC-10",2019,"Jags_Med",-26.1745366013813,64.66667,-0.01379,0.91379
"Hirundinidae2_CA-BC-10",2019,"Jags_p75",-24.0157948148288,NA,-0.01248,0.92957
"Hirundinidae2_CA-BC-10",2019,"Jags_p97.5",-19.7389733227305,NA,-0.00999,0.96365
"Hirundinidae2_CA-BC-10",2019,"Jags_Rhat",NA,NA,1.00051,1.00058
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p2.5",-21.5732467805644,NA,-0.01057,0.80523
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p25",-18.1279092540389,NA,-0.0087,0.83407
"Hirundinidae2_CA-BC-10",2019,"RStanArm_Med",-16.5217804317394,0.25,-0.00785,0.84807
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p75",-14.9987340621858,NA,-0.00707,0.86319
"Hirundinidae2_CA-BC-10",2019,"RStanArm_p97.5",-11.7017304017534,NA,-0.00541,0.89413
"Hirundinidae2_CA-BC-10",2019,"RStanArm_Rhat",NA,NA,1.0004,1.00127
"Hirundinidae2_CA-BC-5",2019,"MLE",-78.33452,NA,-0.06952,-2.20897
"Hirundinidae2_CA-BC-5",2019,"Jags_p2.5",1.34179766820755,NA,-0.07384,-2.26048
"Hirundinidae2_CA-BC-5",2019,"Jags_p25",1.42223273058718,NA,-0.07086,-2.22652
"Hirundinidae2_CA-BC-5",2019,"Jags_Med",1.46781398075691,0,-0.06953,-2.2088
"Hirundinidae2_CA-BC-5",2019,"Jags_p75",1.51276457708435,NA,-0.06827,-2.1916
"Hirundinidae2_CA-BC-5",2019,"Jags_p97.5",1.61421114077156,NA,-0.06549,-2.1541
"Hirundinidae2_CA-BC-5",2019,"Jags_Rhat",NA,NA,1.00487,1.00338
"Hirundinidae2_CA-BC-5",2019,"RStanArm_p2.5",0.597142128522779,NA,-0.04503,-2.76932
"Hirundinidae2_CA-BC-5",2019,"RStanArm_p25",0.718589996768326,NA,-0.03693,-2.6651
