"DU","Year","Var","pchange","probdecl","slope","intercept"
"SebastesA",2016,"MLE",-83.85042,NA,-0.05882,5.26823
"SebastesA",2016,"Jags_p2.5",-93.3814546851339,NA,-0.08759,4.74604
"SebastesA",2016,"Jags_p25",-87.9477034371143,NA,-0.06826,5.08575
"SebastesA",2016,"Jags_Med",-83.7907436754649,99.8,-0.0587,5.25913
"SebastesA",2016,"Jags_p75",-77.902943266086,NA,-0.0487,5.43653
"SebastesA",2016,"Jags_p97.5",-60.619215836682,NA,-0.03006,5.77969
"SebastesA",2016,"Jags_Rhat",NA,NA,1.00161,1.00076
"SebastesA",2016,"RStanArm_p2.5",-87.7255079102888,NA,-0.06555,4.64783
"SebastesA",2016,"RStanArm_p25",-82.236882911035,NA,-0.054,4.96068
"SebastesA",2016,"RStanArm_Med",-78.6118068494221,99.875,-0.0482,5.09763
"SebastesA",2016,"RStanArm_p75",-73.9170892756833,NA,-0.042,5.23499
"SebastesA",2016,"RStanArm_p97.5",-56.8005507573354,NA,-0.02623,5.4853
"SebastesA",2016,"RStanArm_Rhat",NA,NA,0.99991,1.00046
"SebastesB",2020,"MLE",1.54485,NA,0.00044,4.62799
"SebastesB",2020,"Jags_p2.5",-75.4492794204262,NA,-0.04013,3.83047
"SebastesB",2020,"Jags_p25",-37.231787028672,NA,-0.01331,4.37397
"SebastesB",2020,"Jags_Med",0.0684764979085124,33.5,0.00002,4.63792
"SebastesB",2020,"Jags_p75",56.6601125607981,NA,0.01283,4.89991
"SebastesB",2020,"Jags_p97.5",295.735944657022,NA,0.0393,5.45995
"SebastesB",2020,"Jags_Rhat",NA,NA,1.00244,1.00154
"SebastesB",2020,"RStanArm_p2.5",-75.8128953905923,NA,-0.03943,3.90334
"SebastesB",2020,"RStanArm_p25",-39.6897923275724,NA,-0.01405,4.40343
"SebastesB",2020,"RStanArm_Med",-7.40996875412042,36.5,-0.00214,4.65527
"SebastesB",2020,"RStanArm_p75",48.6732597005148,NA,0.01102,4.92993
"SebastesB",2020,"RStanArm_p97.5",242.834872224408,NA,0.03422,5.43316
"SebastesB",2020,"RStanArm_Rhat",NA,NA,1.00183,1.00188
